Civil Divisions,All ages Total,All ages Male,All ages Female,5 to 18 Male,5 to 18 Female,18 to 45  Male,21 and upward Male,State,County
Eufaula,3185,1504,1618,470,511,585,701,Alabama,Barbour
Selma,6484,3068,3416,831,914,1433,1639,Alabama,Dallas
Huntsville,4907,2270,2637,645,744,940,1159,Alabama,Madison
Mobile,32034,14996,17038,4066,4734,6508,8162,Alabama,Mobile
Montgomery,10588,4939,5649,1345,1556,2280,2702,Alabama,Montgomery
Osage ,5384,2805,2579,1026,930,943,1113,Arkansas,Benton
Round Prairie,3443,1692,1751,617,626,558,687,Arkansas,Benton
Van Buren,3296,1693,1603,532,544,730,797,Arkansas,Crawford
Ozan ,4405,2185,2220,735,771,824,921,Arkansas,Hempstead
Vaughn,4735,2459,2270,683,692,1109,1266,Arkansas,Jefferson
St. Francis,5061,2573,2488,670,623,1182,1371,Arkansas,Phillips
Big Rock ,3990,2094,1896,694,666,1010,989,Arkansas,Pulaski
Little Rock ,12380,6653,5727,1534,1754,3787,3941,Arkansas,Pulaski
Upper ,3666,1869,1797,510,597,840,942,Arkansas,Sebastian
Prairie,3884,2007,1877,715,643,739,851,Arkansas,Washington
Eden ,3341,2012,1329,400,399,1154,1247,California,Alameda
Oakland ,11104,6589,4515,1444,1404,3813,4209,California,Alameda
Washington ,3019,1907,1112,381,352,1077,1182,California,Alameda
Chico,3714,2476,1238,417,436,1614,1734,California,Butte
3 ,4610,2794,1816,712,612,1407,1635,California,Contra Costa
Los Angeles ,5728,3186,2542,787,842,1632,1872,California,Los Angeles
Napa ,3791,2220,1571,500,477,1128,1346,California,Napa
Grass Valley ,7003,4545,2518,826,812,2659,3111,California,Nevada
Nevada ,3986,2652,1334,504,436,1418,1791,California,Nevada
Sacramento,16283,9465,6818,1916,1922,5364,6095,California,Sacramento
San Bernardino,3064,1803,1261,500,487,814,980,California,San Bernadino
San Francisco,149473,86182,63291,17856,16685,49059,54737,California,San Francisco
Stockton,10006,6210,3856,1224,1214,3654,4243,California,San Joaquin
