Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
"Population, 10 years and over",6,28228945,706802,341737,430444,425896,92586,131119,835929,1809606,1197936,837959,258051,930130,526392,493847,575439,1160666,873763,305568,581206,1205568,88265,36655,260426,680687,3378959,769629,1953374,64685,2597809,173751,503763,890872,571075,258751,890056,308424,751704,329410
All occupations (persons engaged in),0,12505923,365258,135949,238648,193421,40313,60703,444678,742015,459369,344276,123852,414593,256452,208225,258543,579844,404164,132657,318850,505556,43837,26911,120168,296036,1491018,351299,840889,30651,1020544,88574,263301,367987,237126,108763,412665,115229,292808,170751
Agriculture,0,5922471,291628,109310,47863,43653,15973,42492,336145,376441,266777,210263,73228,261080,141467,82011,80449,72810,187211,75157,259199,263918,23115,2070,46573,63128,374323,269238,397024,13248,260051,11780,206654,267020,166753,57983,244550,73960,159687,48239
Agricultural laborers,0,2885996,208811,53602,16231,18934,8131,31033,264605,133649,83949,69821,21714,127911,97783,24738,48079,31019,64885,20277,181523,86807,5899,555,15666,29240,134562,168978,191063,3126,68897,5475,163528,136925,81123,23692,162604,30087,50753,20321
Apiarists,0,136,,,4,1,,,,20,2,38,2,3,,,1,1,2,2,,11,,,1,,15,,11,,7,,,3,2,1,3,1,5,
Dairymen and dairywomen,0,3550,5,3,1010,5,11,17,31,99,83,51,32,104,161,3,97,14,5,16,11,385,11,24,6,11,384,4,422,28,196,,16,75,9,,48,12,25,136
Farm and plantation overseers,0,3609,111,17,29,21,49,46,427,7,2,7,1,580,844,3,153,16,9,1,208,53,,,,53,118,109,127,1,66,8,179,9,29,4,290,16,1,15
Farmers and planters,-1,2977711,81854,55541,24061,23704,7642,11165,70468,240256,181895,139478,50820,131598,41672,56941,31213,39766,121558,54623,77102,174961,17037,1243,30749,32077,232649,98290,202425,9758,187646,5954,42546,129550,79015,34144,80739,43702,108240,25630
Florists,0,1085,1,1,22,81,4,1,2,26,9,2,3,13,3,2,34,122,1,,,14,1,,4,132,383,1,53,1,111,8,3,10,2,3,8,2,6,16
Gardeners and nurserymen,120,31435,455,125,2355,805,126,59,451,2162,784,810,336,777,861,303,811,1835,636,199,332,1271,79,32,119,1520,5607,177,2565,73,2463,332,108,425,214,122,776,125,580,505
Stock-drovers,9,3181,4,8,68,37,10,4,1,70,24,86,,70,11,21,49,32,115,34,4,187,16,8,22,87,323,6,98,37,611,2,,4,972,17,30,8,71,25
Stock-herders,2,5590,22,8,1930,,,44,19,43,20,20,192,6,28,,8,1,,3,6,47,67,70,4,7,6,2,24,27,19,1,18,12,2049,,23,7,2,853
Stock-raisers,0,6588,4,5,1860,3,,59,10,11,3,34,40,1,104,,2,4,,1,13,18,5,139,2,,3,3,22,197,18,,2,4,3338,,5,,1,677
Turpentine farmers,0,361,12,,,,,4,3,,,,,,,,,,,,,,,,,,,336,,,,,5,1,,,,,,
Turpentine Iaborers,0,2117,349,,,,,60,126,,,,,,,,,,,,,,,,,,,1332,,,,,249,1,,,,,,
Vinegrowers,0,1112,,,293,2,,,2,98,6,,2,17,,,2,,,1,,164,,,,1,273,,214,,17,,,1,,,18,,,1
Professional and Personal Services,606,2684793,42125,14877,76112,38704,11389,10897,64083,151931,80018,58484,20736,84024,65347,36092,79226,131291,104728,28330,40522,106903,10331,7431,18528,83380,405339,51290,168308,6090,283000,19679,34383,54390,40882,21032,98521,16099,58070,61615
Actors,0,2053,7,13,267,3,1,,3,142,63,15,14,21,11,,31,133,44,7,6,134,14,21,5,13,646,1,134,11,185,9,,48,3,1,6,,7,34
Apprentices to learned professions,9,386,7,,10,,,,4,13,14,,,14,5,1,5,20,6,,1,12,,,1,71,74,2,19,2,61,12,4,,,1,,,8,10
