City,State,Error,Total foreign born,Africa,"Asia (except China, Japan, and India)",Atlantic Islands,Australia,Austria,Belgium,Bohemia,Canada (English),Canada (French),Central America,China,Cuba,Denmark,England,Europe (not otherwise specified),Finland,France,Germany,Greece,Holland,Hungary,India,Ireland,Italy,Japan,Luxemburg,Mexico,Norway,Pacific Islands (except Phillipine Islands),Poland (Austrian),Poland (German),Poland (Russian),Poland (unknown),Portugal,Roumania,Russia,Scotland,South America,Spain,Sweden,Switzerland,Turkey,Wales,West Indies (except Cuba and Puerto Rico),Other countries,Born at sea
Akron,Ohio,0,"7,127",4,,,1,190,9,12,359,52,,2,,105,"1,104",,1,146,"3,227",2,5,46,,641,154,,,,59,,9,,7,4,,,100,187,1,2,200,258,,226,8,,6
Albany,New York,55,"17,718",3,39,4,13,106,13,4,598,313,1,11,4,21,"1,361",5,3,107,"5,908",7,289,32,6,"6,612",557,,1,,12,1,35,66,225,27,,,740,395,1,1,65,64,21,80,4,3,15
Allegheny,Pennsylvania,0,"30,216",4,5,2,8,"3,929",10,757,424,41,6,28,3,15,"2,177",6,5,359,"12,022",36,8,560,6,"5,070",786,,4,3,9,,74,79,404,146,,4,531,"1,183",2,2,186,488,4,798,4,3,25
Allentown,Pennsylvania,3,"2,991",,1,,2,337,2,5,33,3,3,6,1,5,151,2,,28,"1,065",3,2,210,,573,122,,,2,2,,4,2,22,14,,,247,66,1,,5,26,3,40,2,3,1
Altoona,Pennsylvania,65,"3,301",2,7,,,57,2,8,40,6,,1,2,5,236,,3,12,"1,518",4,2,4,,668,221,,,,4,,2,2,61,,,,250,98,2,1,32,55,25,23,1,8,4
Atlanta,Georgia,5,"2,531",11,21,1,1,50,12,8,187,15,7,46,18,7,270,,,41,669,44,6,40,,286,42,,,2,2,1,2,3,38,8,,9,493,67,19,4,34,43,10,11,3,,5
Atlantic City,New Jersey,55,"3,189",3,18,2,3,37,2,1,77,13,,37,7,16,456,2,2,49,713,,5,65,7,859,295,21,,2,6,,,2,80,1,,16,214,119,5,6,22,23,8,12,34,,4
Auburn,New York,0,"5,436",1,9,1,3,57,1,79,414,164,1,3,1,7,"1,023",,,26,858,3,21,31,5,"2,084",180,3,,,5,,40,35,41,2,,,56,198,2,,22,17,15,23,,,5
Augusta,Georgia,50,995,1,2,,,14,2,,31,2,,37,3,2,56,3,,80,270,13,,,1,362,7,,,2,1,,,,6,3,,2,98,22,2,2,12,5,,1,1,,2
Baltimore,Maryland,55,"68,600",19,8,14,26,"1,356",25,"2,321",629,51,35,426,49,107,"2,841",4,16,369,"33,208",89,98,155,13,"9,690","2,042",4,1,12,188,7,139,788,"1,694",245,12,26,"10,493",594,49,23,236,186,12,92,176,12,75
Bay City,Michigan,50,"8,485",,1,,,18,23,14,"2,413","1,075",,,,1,402,1,,32,"1,743",,35,3,1,389,4,1,,,9,,81,"1,716",66,9,,,188,166,,1,100,20,4,5,1,1,12
Bayonne,New Jersey,0,"10,786",1,,1,7,809,1,46,197,18,1,32,6,42,976,,6,47,"1,656",,11,541,2,"3,168",240,1,,,43,,162,8,154,166,2,24,"1,868",229,2,1,189,35,,78,12,,4
Binghamton,New York,50,"4,272",,29,1,3,244,,13,189,32,4,4,1,14,392,7,,29,579,8,4,181,,"1,968",117,,,,4,,1,,34,17,,,161,119,1,,33,36,12,80,1,,4
Birmingham,Alabama,5,"1,776",2,6,,,40,1,4,79,18,4,5,1,11,233,12,,46,446,88,3,50,,218,139,3,,,16,,,3,,3,,,159,52,27,3,16,16,34,26,4,5,8
Boston,Massachusetts,60,"197,129",50,319,242,78,"1,115",221,93,"47,374","2,908",67,"1,065",32,675,"13,174",,221,"1,008","10,523",281,391,330,45,"70,147","13,738",86,1,13,"1,145",30,61,216,"3,375",180,882,68,"14,995","4,478",74,85,"5,541",400,600,308,424,19,111
Bridgeport,Connecticut,50,"22,281",3,7,3,8,913,3,183,711,367,21,67,8,350,"2,755",3,8,141,"2,854",17,7,"3,172",5,"5,974","1,436",3,,5,76,,122,15,457,16,1,4,519,471,5,1,"1,349",188,10,32,20,5,16
