Ref#,Property Name,State,County,City,Street & Number,Listed Date,Area of Significance,geometry,longitude,latitude,fipsBlock,fipsTract,STCOFIPS,CFLD_AFREQ,CFLD_RISKS,CFLD_RISKR,RFLD_AFREQ,RFLD_RISKS,RFLD_RISKR
92001885,Government Street Presbyterian Church,ALABAMA,Mobile,Mobile,300 Government St.,10/5/1992,ARCHITECTURE,POINT (-88.04355161599995 30.68965911800007),-88.04355162,30.68965912,10970002001134,1097000200,1097,0.155586139,7.073272973,Relatively Low,3.625,26.05533874,Relatively High
71000103,"Horst, Martin, House",ALABAMA,Mobile,Mobile,407 Conti St.,6/21/1971,ARCHITECTURE,POINT (-88.04678497599997 30.68936240900007),-88.04678498,30.68936241,10970002001143,1097000200,1097,0.155586139,7.073272973,Relatively Low,3.625,26.05533874,Relatively High
69000034,Mobile City Hall,ALABAMA,Mobile,Mobile,111 S. Royal St.,12/3/1969,COMMERCE; ARCHITECTURE,POINT (-88.03944816099994 30.68962886000003),-88.03944816,30.68962886,10970002001150,1097000200,1097,0.155586139,7.073272973,Relatively Low,3.625,26.05533874,Relatively High
5000455,"Bethel Baptist Church, Parsonage, and Guardhouse",ALABAMA,Jefferson,Collegeville,"3233, 3232, and 3236 29th Avenue North",4/5/2005,,POINT (-86.80072099999995 33.55155000000008),-86.800721,33.55155,10730007001025,1073000700,1073,,,Not Applicable,3.958333333,50.3529408,Very High
5000306,New Pilgrim Baptist Church,ALABAMA,Jefferson,Birmingham,903 Sixth Ave S,8/24/2007,SOCIAL HISTORY; BLACK,POINT (-86.81524773799998 33.50135332200006),-86.81524774,33.50135332,10730042001004,1073004200,1073,,,Not Applicable,3.958333333,34.68456213,Very High
72000192,Alaska Native Brotherhood Hall,ALASKA,Sitka,Sitka,Katlean St.,2/23/1972,NATIVE AMERICAN,POINT (-135.341085064 57.05068418900004),-135.3410851,57.05068419,22200002005004,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
79000412,Cable House and Station,ALASKA,Sitka,Sitka,Lincoln St.,6/4/1979,COMMUNICATIONS,POINT (-135.339211851 57.04953040500004),-135.3392119,57.04953041,22200002005004,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
77000224,Emmons House,ALASKA,Sitka,Sitka,601 Lincoln St.,12/16/1977,SCIENCE,POINT (-135.329668753 57.05148732900005),-135.3296688,57.05148733,22200002004007,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
66000025,Russian Bishop's House,ALASKA,Sitka,Sitka,Lincoln and Monastery Sts.,10/15/1966,ENGINEERING; EDUCATION; EXPLORATION/SETTLEMENT; ARCHITECTURE; RELIGION,POINT (-135.3310866959999 57.05151952400007),-135.3310867,57.05151952,22200002004029,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
87001282,Russian-American Building No. 29,ALASKA,Sitka,Sitka,202--204 Lincoln St.,5/28/1987,EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,POINT (-135.334098457 57.04913988900006),-135.3340985,57.04913989,22200002004027,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
66000165,St. Michael's Cathedral,ALASKA,Sitka,Sitka,"Lincoln and Maksoutoff District,",10/15/1966,ARCHITECTURE; RELIGION,POINT (-135.33529596 57.05004340100004),-135.335296,57.0500434,22200002005009,2220000200,2220,0.012,5.68206841,Relatively Low,0.416666666,21.8384687,Relatively High
80000749,St. Nicholas Chapel,ALASKA,Bristol Bay,Ekuk,In Ekuk,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-158.550657301 58.79739660200005),-158.5506573,58.7973966,20700001002396,2070000100,2070,0,0,No Rating,0.166666666,25.51018306,Relatively High
80000752,Transfiguration of Our Lord Chapel,ALASKA,Bristol Bay,Nushagak,In Nushagak,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-158.491388209 58.94758977200007),-158.4913882,58.94758977,20700001002086,2070000100,2070,0,0,No Rating,0.166666666,25.51018306,Relatively High
80004578,St. Michael the Archangel Church,ALASKA,Valdez-Cordova,Cordova,In Cordova,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-145.73991292 60.54199354700006),-145.7399129,60.54199355,22610002001284,2261000200,2261,0.002,0,No Rating,0.5,22.7204382,Relatively High
77000229,Nenana Depot,ALASKA,Yukon-Koyukuk,Nenana,A St.,8/10/1977,TRANSPORTATION,POINT (-149.102928848 64.56409952300004),-149.1029288,64.56409952,22900002002268,2290000200,2290,,,Not Applicable,1.5,39.54814017,Very High
78000558,Brigham City,ARIZONA,Navajo,Winslow,N of Winslow,6/9/1978,HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,POINT (-110.6842262549999 35.04187105300008),-110.6842263,35.04187105,40179604001084,4017960400,4017,,,Not Applicable,3.75,54.10268694,Very High
77000235,Gila Pueblo,ARIZONA,Gila,Globe,S of Globe,11/17/1977,PREHISTORIC,POINT (-110.7676254899999 33.36484043300004),-110.7676255,33.36484043,40070012003112,4007001200,4007,,,Not Applicable,4.541666666,42.9592111,Very High
75000370,Harquahala Peak Observatory,ARIZONA,La Paz,Wenden,E of Wenden off U.S. 60,10/3/1975,SCIENCE,POINT (-113.346227783 33.81346491200003),-113.3462278,33.81346491,40120201001172,4012020100,4012,,,Not Applicable,2.458333333,40.27826009,Very High
87001437,Tumacacori Museum,ARIZONA,Santa Cruz,Tumacacori,Tumacacori National Monument,5/28/1987,ARCHITECTURE,POINT (-111.0510474449999 31.56783440200007),-111.0510474,31.5678344,40239661013042,4023966101,4023,,,Not Applicable,2.708333333,30.14970762,Relatively High
87002462,Atascosa Lookout House,ARIZONA,Santa Cruz,Tubac,Coronado National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.14689994 31.42585380600008),-111.1468999,31.42585381,40239661051009,4023966105,4023,,,Not Applicable,2.708333333,26.58111011,Relatively High
87002457,Moqui Lookout Cabin,ARIZONA,Coconino,Blue Ridge,Coconino National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.166550327 34.56438432100003),-111.1665503,34.56438432,40050015004412,4005001500,4005,,,Not Applicable,6.916666666,26.2468857,Relatively High
87002493,Diamond Point Lookout Cabin,ARIZONA,Gila,Tonto Village,Tonto National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.1927834429999 34.28748553000003),-111.1927834,34.28748553,40070004003004,4007000400,4007,,,Not Applicable,4.541666666,25.83206917,Relatively High
10000947,Chapel of the Holy Cross,ARIZONA,Coconino,Sedona,780 Chapel Rd,10/6/2011,ARCHITECTURE,POINT (-111.7764 34.83279999900003),-111.7764,34.8328,40050016001034,4005001600,4005,,,Not Applicable,6.916666666,25.34804325,Relatively High
87002480,Kendrick Lookout Cabin,ARIZONA,Coconino,Pumpkin Center,Kaibab National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.846758227 35.40827627000004),-111.8467582,35.40827627,40050022004832,4005002200,4005,,,Not Applicable,6.916666666,25.26882877,Relatively High
87002481,Volunteer Lookout Cabin,ARIZONA,Coconino,Bellemont,Kaibab National Forest,1/28/1988,CONSERVATION; POLITICS/GOVERNMENT; ARCHITECTURE,POINT (-111.8955418 35.21794429500005),-111.8955418,35.2179443,40050022001070,4005002200,4005,,,Not Applicable,6.916666666,25.26882877,Relatively High
