Ref#,Property Name,State,County,City,Street & Number,Listed Date,Area of Significance,geometry,longitude,latitude,fipsBlock,fipsTract,STCOFIPS,CFLD_AFREQ,CFLD_RISKS,CFLD_RISKR,RFLD_AFREQ,RFLD_RISKS,RFLD_RISKR
66000264,Plaza Ferdinand VII,FLORIDA,Escambia,Pensacola,Palafox St. between Government and Zaragossa Sts.,10/15/1966,POLITICS/GOVERNMENT,POINT (-87.21391748499997 30.40924276800007),-87.21391748,30.40924277,120330001001087,12033000100,12033,2.053617974,4.617435903,Relatively Low,1.625,25.80257611,Relatively High
4000142,Mala Compra Plantation Archeological Site,FLORIDA,Flagler,Palm Coast,Approx. 1000 ft. W of the intersection of N. Oceanshore Blvd. (FL A1A) and Mala Compra Dr.,3/5/2004,HISTORIC - NON-ABORIGINAL; POLITICS/GOVERNMENT; MILITARY,POINT (-81.20366974399997 29.61530193400006),-81.20366974,29.61530193,120350601061014,12035060106,12035,2.71971348,20.98035714,Relatively High,1,23.64393127,Relatively High
16000295,Menendez Encampment Site,FLORIDA,St. Johns,St. Augustine,21 Magnolia St.,9/27/2016,EXPLORATION/SETTLEMENT; HISPANIC; HISTORIC - ABORIGINAL; HISTORIC - NON-ABORIGINAL,POINT (-81.31399303299997 29.90662044400005),-81.31399303,29.90662044,121090202002005,12109020200,12109,2.701729398,16.77268254,Relatively Moderate,1.333333333,28.8169038,Relatively High
72001461,Sanchez Powder House Site,FLORIDA,St. Johns,St. Augustine,Marine St.,4/14/1972,MILITARY,POINT (-81.30777534599997 29.88161163600006),-81.30777535,29.88161164,121090205001001,12109020500,12109,2.703729398,24.42059525,Relatively High,1.333333333,31.06763673,Relatively High
1000529,URCA DE LIMA (shipwreck),FLORIDA,St. Lucie,Ft. Pierce,"200 yds offshore Jack Island Park, N of Ft. Pierce Inlet",5/31/2001,COMMERCE; MARITIME HISTORY; TRANSPORTATION; ARCHITECTURE; HISTORIC - NON-ABORIGINAL,POINT (-80.29811381999997 27.50330929900002),-80.29811382,27.5033093,121113812042000,12111381204,12111,2.749633891,30.71173148,Relatively High,0.458333333,41.74281589,Very High
98001253,City Island Ball Park,FLORIDA,Volusia,Daytona Beach,"City Island, across from Daytona Beach Business District",10/22/1998,BLACK; ENTERTAINMENT/RECREATION,POINT (-81.01634024899994 29.20957786900004),-81.01634025,29.20957787,121270820003005,12127082000,12127,2.70971348,16.68847281,Relatively Moderate,0.625,21.48214518,Relatively High
8000629,Old Fort Park Archeological Site,FLORIDA,Volusia,New Smyrna Beach,200 Block of Sams Avenue,7/10/2008,HISTORIC - NON-ABORIGINAL,POINT (-80.92244748899998 29.02714249800005),-80.92244749,29.0271425,121270828022033,12127082802,12127,2.71971348,18.83079878,Relatively Moderate,0.625,23.57862979,Relatively High
66000298,Cook Landing Site,HAWAII,Kauai,Waimea,2 mi. SW of HI 50,10/15/1966,EXPLORATION/SETTLEMENT,POINT (-159.666242411 21.95200173400008),-159.6662424,21.95200173,150070409003001,15007040900,15007,0.069971012,2.473132517,Very Low,5.916666666,51.1241247,Very High
75000052,Merom Site and Fort Azatlan,INDIANA,Sullivan,Merom,N of Merom,5/12/1975,PREHISTORIC,POINT (-87.57007731699997 39.06246225300004),-87.57007732,39.06246225,181530502003090,18153050200,18153,,,Not Applicable,4.041666666,29.876724,Relatively High
70000247,Pawnee Rock,KANSAS,Barton,Pawnee Rock,0.2 mi. N of Pawnee Rock off U.S. 56,12/29/1970,HISTORIC - ABORIGINAL; COMMERCE; HISTORIC - NON-ABORIGINAL,POINT (-98.98185383299995 38.27211669700006),-98.98185383,38.2721167,200099712002161,20009971200,20009,,,Not Applicable,1.666666666,29.56142872,Relatively High
