ref#,propertyName,state,county,city,address,listedDate,areaSignificance,geometry,longitude,latitude,fipsBlock,fipsTract,riskIndexRef#,fipsStateCounty,cfldEvents,cfldFreq,cfldRisk,cfldRiskRating,rfldEvents,rfldFreq,rfldRisk,rfldRiskRating
92001885,Government Street Presbyterian Church,ALABAMA,Mobile,Mobile,300 Government St.,FALSE,10/5/1992,ARCHITECTURE,POINT (-88.04355161599995 30.68965911800007),30.68965912,-88.04355162,10970002001134,1097000200,T01097000200,1097,0.155586139,7.073272973,Relatively Low,87,3.625,26.05533874,Relatively High
71000103,"Horst, Martin, House",ALABAMA,Mobile,Mobile,407 Conti St.,FALSE,6/21/1971,ARCHITECTURE,POINT (-88.04678497599997 30.68936240900007),30.68936241,-88.04678498,10970002001143,1097000200,T01097000200,1097,0.155586139,7.073272973,Relatively Low,87,3.625,26.05533874,Relatively High
69000034,Mobile City Hall,ALABAMA,Mobile,Mobile,111 S. Royal St.,FALSE,12/3/1969,COMMERCE; ARCHITECTURE,POINT (-88.03944816099994 30.68962886000003),30.68962886,-88.03944816,10970002001150,1097000200,T01097000200,1097,0.155586139,7.073272973,Relatively Low,87,3.625,26.05533874,Relatively High
5000455,"Bethel Baptist Church, Parsonage, and Guardhouse",ALABAMA,Jefferson,Collegeville,"3233, 3232, and 3236 29th Avenue North",FALSE,4/5/2005,,POINT (-86.80072099999995 33.55155000000008),33.55155,-86.800721,10730007001025,1073000700,T01073000700,1073,,,Not Applicable,95,3.958333333,50.3529408,Very High
5000306,New Pilgrim Baptist Church,ALABAMA,Jefferson,Birmingham,903 Sixth Ave S,FALSE,8/24/2007,SOCIAL HISTORY; BLACK,POINT (-86.81524773799998 33.50135332200006),33.50135332,-86.81524774,10730042001004,1073004200,T01073004200,1073,,,Not Applicable,95,3.958333333,34.68456213,Very High
72000192,Alaska Native Brotherhood Hall,ALASKA,Sitka,Sitka,Katlean St.,FALSE,2/23/1972,NATIVE AMERICAN,POINT (-135.341085064 57.05068418900004),57.05068419,-135.3410851,22200002005004,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
79000412,Cable House and Station,ALASKA,Sitka,Sitka,Lincoln St.,FALSE,6/4/1979,COMMUNICATIONS,POINT (-135.339211851 57.04953040500004),57.04953041,-135.3392119,22200002005004,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
77000224,Emmons House,ALASKA,Sitka,Sitka,601 Lincoln St.,FALSE,12/16/1977,SCIENCE,POINT (-135.329668753 57.05148732900005),57.05148733,-135.3296688,22200002004007,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
66000025,Russian Bishop's House,ALASKA,Sitka,Sitka,Lincoln and Monastery Sts.,FALSE,10/15/1966,ENGINEERING; EDUCATION; EXPLORATION/SETTLEMENT; ARCHITECTURE; RELIGION,POINT (-135.3310866959999 57.05151952400007),57.05151952,-135.3310867,22200002004029,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
87001282,Russian-American Building No. 29,ALASKA,Sitka,Sitka,202--204 Lincoln St.,FALSE,5/28/1987,EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,POINT (-135.334098457 57.04913988900006),57.04913989,-135.3340985,22200002004027,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
66000165,St. Michael's Cathedral,ALASKA,Sitka,Sitka,"Lincoln and Maksoutoff District,",FALSE,10/15/1966,ARCHITECTURE; RELIGION,POINT (-135.33529596 57.05004340100004),57.0500434,-135.335296,22200002005009,2220000200,T02220000200,2220,0.012,5.68206841,Relatively Low,10,0.416666666,21.8384687,Relatively High
80000749,St. Nicholas Chapel,ALASKA,Bristol Bay,Ekuk,In Ekuk,FALSE,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-158.550657301 58.79739660200005),58.7973966,-158.5506573,20700001002396,2070000100,T02070000100,2070,0,0,No Rating,4,0.166666666,25.51018306,Relatively High
80000752,Transfiguration of Our Lord Chapel,ALASKA,Bristol Bay,Nushagak,In Nushagak,FALSE,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-158.491388209 58.94758977200007),58.94758977,-158.4913882,20700001002086,2070000100,T02070000100,2070,0,0,No Rating,4,0.166666666,25.51018306,Relatively High
80004578,St. Michael the Archangel Church,ALASKA,Valdez-Cordova,Cordova,In Cordova,FALSE,6/6/1980,EXPLORATION/SETTLEMENT; ARCHITECTURE; SOCIAL HISTORY,POINT (-145.73991292 60.54199354700006),60.54199355,-145.7399129,22610002001284,2261000200,T02261000200,2261,0.002,0,No Rating,12,0.5,22.7204382,Relatively High
77000229,Nenana Depot,ALASKA,Yukon-Koyukuk,Nenana,A St.,FALSE,8/10/1977,TRANSPORTATION,POINT (-149.102928848 64.56409952300004),64.56409952,-149.1029288,22900002002268,2290000200,T02290000200,2290,,,Not Applicable,36,1.5,39.54814017,Very High
78000558,Brigham City,ARIZONA,Navajo,Winslow,N of Winslow,FALSE,6/9/1978,HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,POINT (-110.6842262549999 35.04187105300008),35.04187105,-110.6842263,40179604001084,4017960400,T04017960400,4017,,,Not Applicable,90,3.75,54.10268694,Very High
77000235,Gila Pueblo,ARIZONA,Gila,Globe,S of Globe,FALSE,11/17/1977,PREHISTORIC,POINT (-110.7676254899999 33.36484043300004),33.36484043,-110.7676255,40070012003112,4007001200,T04007001200,4007,,,Not Applicable,109,4.541666666,42.9592111,Very High
75000370,Harquahala Peak Observatory,ARIZONA,La Paz,Wenden,E of Wenden off U.S. 60,FALSE,10/3/1975,SCIENCE,POINT (-113.346227783 33.81346491200003),33.81346491,-113.3462278,40120201001172,4012020100,T04012020100,4012,,,Not Applicable,59,2.458333333,40.27826009,Very High
